round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
23,"(1.006, 1.446)","(1.006, 1.184)",1,2,67682.18486084483,33207.02550539743,1.446,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,1.0
24,"(0.427, 2.164)","(0.583, 0.841)",1,1,87682.2704872245,14179.399890804703,0.427,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,1.0
25,"(0.427, 1.006)","(0.841, 2.164)",2,2,131742.6114070548,30684.22136370138,2.164,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.0
26,"(0.841, 1.446)","(1.184, 2.164)",2,1,220537.1314954097,36330.118094622434,1.184,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,1.0
27,"(0.649, 1.446)","(0.583, 1.184)",1,1,231012.64524144164,23578.24664340996,0.649,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,1.0
28,"(0.841, 1.739)","(0.841, 2.164)",2,2,347096.499475266,51023.32573633915,2.164,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.0
29,"(0.583, 0.841)","(1.184, 2.164)",2,2,581039.5401215953,110414.47689343794,2.164,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,1.0
30,"(1.739, 2.164)","(0.427, 1.006)",1,1,1133898.6625472934,192010.7753176886,1.739,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.0
31,"(0.841, 1.006)","(0.427, 1.446)",1,2,1047155.4148624254,193162.83996959473,1.006,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.0
32,"(0.649, 2.164)","(1.006, 2.164)",2,2,1659741.3325569443,418004.385694203,2.164,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,1.0
33,"(0.841, 2.164)","(0.427, 2.164)",1,2,2493761.3521668087,904561.4906422554,2.164,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.0
34,"(0.649, 1.006)","(1.446, 2.164)",2,2,4501239.24066109,1957471.0657498408,2.164,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0,1.0
35,"(0.583, 2.164)","(0.427, 2.164)",1,1,6182452.097048007,1141205.6313321572,0.583,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.0
36,"(1.446, 2.164)","(0.427, 1.006)",1,1,11159326.035171654,1650183.3429062993,1.446,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.0
37,"(0.427, 0.583)","(0.649, 1.184)",2,2,10227522.31123482,1953817.0780010582,1.184,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,1.0
38,"(0.583, 1.184)","(1.184, 1.446)",2,2,13449191.839273788,2825219.49478953,1.446,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0,1.0
39,"(0.427, 0.841)","(1.006, 1.446)",2,2,16488709.194949664,4085267.3894656603,1.446,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.0
40,"(0.427, 1.446)","(0.649, 2.164)",2,1,23191369.482696705,2651338.5357632134,0.649,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,1.0
41,"(0.427, 2.164)","(1.184, 2.164)",2,1,38822352.51403428,3139184.8263436444,1.184,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,1.0
42,"(0.583, 0.649)","(0.649, 0.841)",2,1,28922652.62295554,2037330.9522970254,0.649,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.0
43,"(1.184, 2.164)","(0.427, 0.649)",1,2,48416520.49082757,4408784.180770763,2.164,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,1.0
44,"(0.649, 2.164)","(0.427, 0.841)",1,1,68097836.07034898,2861300.933320225,0.649,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.0
45,"(0.841, 1.006)","(0.427, 1.184)",1,2,62888351.61096728,2878468.7389201466,1.006,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,1.0
46,"(0.841, 1.184)","(0.427, 2.164)",1,2,63674456.006104365,3408106.9868814535,1.184,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.0
47,"(0.583, 1.006)","(0.841, 1.739)",2,1,82140048.24787463,2866217.9759673025,0.841,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,1.0
48,"(0.583, 2.164)","(1.006, 1.184)",1,2,112819356.2684558,6202495.6999932425,2.164,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,1.0
49,"(0.427, 1.739)","(0.583, 1.446)",2,2,114455236.9343484,8968808.782190228,1.446,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1,1.0
50,"(0.583, 1.446)","(0.583, 1.184)",1,2,116114837.86989646,12968897.499047069,1.446,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,1.0
51,"(0.649, 0.841)","(0.649, 1.006)",2,1,96085028.33733933,8416814.476881549,0.649,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,1.0
52,"(1.006, 1.446)","(0.427, 1.446)",1,2,117800244.74157801,12170713.73357072,1.446,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.0
53,"(1.446, 2.164)","(0.427, 0.841)",1,2,212629441.75854832,26337424.51944704,2.164,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.0
54,"(0.649, 1.184)","(0.427, 0.841)",1,1,194874883.37170953,17092988.513121128,0.649,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.0
55,"(0.427, 2.164)","(0.841, 2.164)",2,1,292799512.26599354,14375203.339534868,0.841,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.0
56,"(0.841, 1.184)","(0.427, 1.006)",1,2,296459506.16931844,17020240.754009284,1.184,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.0
57,"(0.583, 0.841)","(0.583, 1.739)",2,2,344189486.6625787,29598198.671222147,1.739,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,1.0
58,"(0.427, 0.649)","(1.739, 2.164)",2,2,671685783.2220224,64050501.92452473,2.164,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.0
59,"(0.583, 1.739)","(0.841, 1.739)",2,1,866474660.356409,53866472.1185253,0.841,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,1.0
60,"(1.184, 1.739)","(1.184, 2.164)",2,2,1450478581.4366286,116567045.66448875,2.164,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,1.0
61,"(1.006, 1.739)","(1.446, 1.739)",2,2,2309887140.937831,202710092.41054595,1.739,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.0
62,"(1.184, 1.739)","(0.583, 1.006)",1,2,3375900056.48064,352512850.7019394,1.739,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,1.0
63,"(0.583, 1.184)","(1.739, 2.164)",2,2,6588068960.22197,762837808.9189969,2.164,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.0
