round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
1,"(0.841, 1.184)","(1.446, 2.164)",2,2,1805.0000000000002,2164.0,2.164,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0,0.75
2,"(0.427, 1.446)","(0.649, 1.739)",2,1,2155.17,1404.4360000000001,0.649,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,0.75
3,"(1.006, 1.739)","(0.649, 1.446)",1,2,2957.9708250000003,2442.3142040000002,1.739,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,0.75
4,"(1.446, 1.739)","(0.841, 2.164)",1,1,4710.5685388125,3531.586338984,1.446,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,0.75
5,"(0.841, 1.006)","(0.841, 1.739)",2,2,6076.633415068126,6141.428643493176,1.739,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,0.75
6,"(0.427, 0.841)","(1.446, 2.164)",2,1,10968.323314197969,8880.505818491132,1.446,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0,0.75
7,"(0.427, 1.184)","(0.427, 1.739)",2,2,11878.6941492764,15443.19961835608,1.739,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,0.75
8,"(0.649, 0.841)","(0.427, 2.164)",2,1,15388.848270387578,6594.246237038046,0.427,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,0.75
9,"(0.649, 1.446)","(1.184, 2.164)",2,1,25760.932004628805,7807.587544653046,1.184,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,0.75
10,"(0.427, 0.649)","(0.583, 1.446)",2,2,26134.46551869592,11289.771589568305,1.446,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1,0.75
11,"(0.649, 2.164)","(0.427, 1.006)",1,2,36758.12575204582,24431.065719825812,2.164,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,0.75
12,"(0.649, 1.739)","(0.649, 0.841)",1,1,43889.202147942706,15855.761652166953,0.649,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,0.75
13,"(0.427, 1.739)","(0.841, 1.006)",2,2,40531.67818362509,15950.896222079955,1.006,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,0.75
14,"(0.427, 1.184)","(1.184, 1.739)",2,1,59237.04766536807,18885.861126942666,1.184,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0,0.75
15,"(0.649, 0.841)","(0.649, 1.739)",2,1,70729.03491244947,12256.92387138579,0.649,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,0.75
16,"(0.841, 1.739)","(0.427, 1.184)",1,2,91240.45503705982,21314.79061233989,1.739,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,0.75
17,"(0.583, 0.649)","(0.583, 1.739)",2,1,105930.16829802644,12426.522926994156,0.583,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,0.75
18,"(1.446, 1.739)","(0.427, 1.446)",1,2,168693.79301460713,21609.723370042837,1.739,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,0.75
19,"(1.006, 1.739)","(0.583, 1.006)",1,1,231532.2309125483,21739.381710263093,1.006,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,0.75
20,"(0.427, 1.006)","(0.841, 1.184)",2,2,234426.38379895512,25739.4279449515,1.184,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,0.75
21,"(0.649, 1.184)","(0.427, 1.006)",1,1,214851.78075174236,16704.888736273526,0.649,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,0.75
22,"(0.841, 1.184)","(0.649, 1.006)",1,1,217537.42801113913,14048.811427206034,0.841,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,0.75
23,"(0.583, 1.006)","(0.427, 0.841)",1,2,172833.48655485004,14133.10429576927,1.006,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,0.75
24,"(0.427, 1.739)","(0.583, 0.841)",1,1,187178.6659389026,6034.835534293478,0.427,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,0.75
25,"(0.427, 1.739)","(0.841, 2.164)",2,1,281235.9455732011,5075.296684340815,0.841,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,0.75
26,"(0.649, 1.739)","(0.427, 2.164)",1,2,335795.71901440213,8825.940934068678,1.739,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,0.75
27,"(0.427, 0.841)","(0.841, 1.739)",2,2,433176.4775285788,15348.311284345431,1.739,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,0.75
28,"(1.006, 1.184)","(1.446, 2.164)",2,2,781883.5419390848,33213.74561932351,2.164,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0,0.75
29,"(0.841, 2.164)","(0.841, 1.006)",1,1,1174780.021763475,27932.76006585107,0.841,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,0.75
30,"(1.006, 1.184)","(1.184, 2.164)",2,2,1966581.756432057,60446.49278250172,2.164,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,0.75
31,"(0.427, 1.446)","(1.446, 1.739)",2,1,3131781.447118051,87405.62856349749,1.446,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,0.75
32,"(0.649, 2.164)","(0.583, 2.164)",1,2,4404850.605371539,189145.7802114086,2.164,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,0.75
33,"(1.184, 1.739)","(0.427, 2.164)",1,1,6437689.1597505035,223948.60377030776,1.184,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,0.75
34,"(1.184, 1.446)","(0.427, 1.006)",1,1,8465561.245071912,265155.14686404436,1.184,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,0.75
