round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
1,"(0.841, 1.184)","(0.841, 1.006)",1,2,1012.5,1184.0,1.184,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.5
2,"(0.841, 2.164)","(0.841, 1.006)",1,1,1521.28125,995.7439999999999,0.841,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.5
3,"(0.841, 1.184)","(0.427, 0.841)",1,2,1540.297265625,1178.9608959999998,1.184,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.5
4,"(0.649, 1.006)","(1.184, 1.446)",2,2,2025.4909042968748,1704.7774556159998,1.446,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0,1.5
5,"(0.841, 1.446)","(0.649, 1.184)",1,1,2316.148849063476,1433.7178401730557,0.841,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,1.5
6,"(1.006, 1.739)","(0.841, 2.164)",1,2,3178.914295339621,2493.235324060944,1.739,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.5
7,"(0.841, 1.739)","(0.427, 2.164)",1,1,4100.799440988111,2096.810907535254,0.841,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.5
8,"(1.446, 1.739)","(0.841, 1.739)",1,2,6530.523109773567,3646.354168203807,1.739,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,1.5
9,"(0.583, 2.164)","(1.446, 2.164)",2,2,11787.594213141288,7890.710419993039,2.164,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0,1.5
10,"(0.427, 1.739)","(1.739, 2.164)",2,2,23003.490106945228,17075.497348864938,2.164,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.5
11,"(0.427, 0.841)","(1.006, 1.446)",2,2,28202.27887111485,24691.169166458698,1.446,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.5
12,"(1.739, 2.164)","(0.427, 2.164)",1,1,55036.747216980635,42937.94318047168,1.739,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.5
13,"(0.583, 1.446)","(0.427, 0.841)",1,2,55834.780051626854,62088.26583896205,1.446,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.5
14,"(0.427, 0.841)","(0.583, 0.649)",2,2,34394.22451180214,40295.28452948637,0.649,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,1.5
15,"(1.006, 1.184)","(0.427, 0.583)",1,1,37661.67584042334,40537.056236663295,1.006,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,1.5
16,"(1.006, 1.446)","(1.006, 1.184)",1,1,46173.21458035902,40780.27857408328,1.006,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,1.5
17,"(0.583, 1.184)","(0.583, 2.164)",2,1,63418.91022612311,23774.90240869055,0.583,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,1.5
18,"(1.739, 2.164)","(0.841, 2.164)",1,2,123762.00330627926,51448.88881240635,2.164,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.5
19,"(0.841, 1.184)","(0.841, 1.739)",2,1,159652.98426510027,43268.51549123374,0.841,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,1.5
20,"(0.649, 0.841)","(0.427, 0.583)",1,2,118941.4732774997,36388.82152812757,0.841,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,1.5
21,"(0.841, 2.164)","(0.841, 1.446)",1,1,178709.5635994433,30602.998905155284,0.841,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,1.5
22,"(1.184, 2.164)","(0.427, 1.006)",1,2,299159.80946546805,66224.88963075604,2.164,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.5
23,"(1.739, 2.164)","(0.649, 2.164)",1,1,583810.3681718609,115165.08306788476,1.739,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,1.5
24,"(0.841, 1.739)","(0.649, 1.184)",1,2,753115.3749417006,200272.0794550516,1.739,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,1.5
25,"(0.841, 1.446)","(0.649, 1.446)",1,2,861187.4312458346,289593.4268920046,1.446,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,1.5
26,"(0.841, 1.006)","(0.649, 0.841)",1,1,795306.5927555282,243548.07201617587,0.841,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.5
27,"(0.427, 0.649)","(0.427, 1.006)",2,1,569837.173709336,103995.0267509071,0.427,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.5
28,"(0.649, 1.184)","(0.841, 1.184)",2,1,576960.1383807027,87459.81749751286,0.841,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,1.5
29,"(1.184, 1.446)","(0.649, 0.841)",1,2,758702.581970624,126466.8961014036,1.446,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.5
30,"(1.006, 2.164)","(0.583, 2.164)",1,2,1202543.592423439,273674.3631634374,2.164,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,1.5
31,"(0.427, 1.739)","(0.427, 2.164)",2,1,1557895.2239845654,116858.95307078777,0.427,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.5
32,"(0.649, 0.841)","(0.427, 1.184)",1,2,1160631.9418685012,98278.37953253252,0.841,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,1.5
