round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
1,"(-407.0, 309.5)","(440.5, 0.0)",2,2,1220.25,1000.0,0.0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,,0.25
2,"(108.5, 210.5)","(108.5, 309.5)",2,2,1429.25,1309.5,309.5,210.5,108.5,102.0,159.5,0,1,0,2,0,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.25
3,"(-305.5, 0.0)","(-407.0, 309.5)",2,1,1380.5,902.5,-407.0,0.0,-305.5,305.5,-152.75,0,0,0,0,1,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,,0.25
4,"(-49.0, 210.5)","(-305.5, 309.5)",1,2,1461.25,1113.0,210.5,210.5,-49.0,259.5,80.75,1,0,0,1,1,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,,,,,0.25
5,"(-407.0, 210.5)","(-49.0, 108.5)",2,1,1491.0,1064.0,-49.0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,,0.25
6,"(-241.5, 309.5)","(309.5, 440.5)",2,1,1866.0,1373.5,309.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,440.5,309.5,131.0,375.0,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
7,"(-407.0, -241.5)","(-241.5, 108.5)",2,2,1799.5,1482.0,108.5,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,,,,,0.25
8,"(-407.0, 0.0)","(-407.0, -305.5)",1,1,1596.0,1075.0,-407.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,,,,,0.25
9,"(108.5, 440.5)","(210.5, 0.0)",1,2,1870.5,1515.5,440.5,440.5,108.5,332.0,274.5,0,1,0,2,0,210.5,0.0,210.5,105.25,0,0,0,1,0,1.0,0.0,2.0,0.0,,,,,0.25
10,"(309.5, 0.0)","(-49.0, 108.5)",1,2,2025.25,1515.5,0.0,309.5,0.0,309.5,154.75,0,0,0,1,0,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,,0.25
11,"(210.5, 440.5)","(-407.0, 440.5)",1,1,2350.75,1726.0,210.5,440.5,210.5,230.0,325.5,0,1,0,2,0,440.5,-407.0,847.5,16.75,1,0,0,1,1,1.0,0.0,2.0,0.0,,,,,0.25
12,"(-241.5, 0.0)","(-241.5, 309.5)",2,2,2384.75,2035.5,309.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,,,,,0.25
13,"(-241.5, 108.5)","(-49.0, 210.5)",2,1,2465.5,1986.5,-49.0,108.5,-241.5,350.0,-66.5,1,0,0,1,1,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,,0.25
14,"(210.5, 309.5)","(-305.5, -241.5)",1,1,2725.5,2197.0,210.5,309.5,210.5,99.0,260.0,0,1,0,2,0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,1.0,0.0,2.0,0.0,,,,,0.25
15,"(-407.0, 210.5)","(-305.5, -49.0)",1,2,2627.25,2407.5,210.5,210.5,-407.0,617.5,-98.25,1,0,0,1,1,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,,,,,,,,,0.25
16,"(-407.0, -49.0)","(-407.0, -305.5)",1,2,2399.25,2358.5,-49.0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,,,,,0.25
17,"(-49.0, 309.5)","(-407.0, 440.5)",1,1,2529.5,2309.5,-49.0,309.5,-49.0,358.5,130.25,1,0,0,1,1,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,,0.25
18,"(210.5, 309.5)","(-49.0, 440.5)",1,2,2789.5,2619.0,309.5,309.5,210.5,99.0,260.0,0,1,0,2,0,440.5,-49.0,489.5,195.75,1,0,0,1,1,1.0,0.0,2.0,0.0,,,,,0.25
19,"(-241.5, 108.5)","(-49.0, 440.5)",2,2,2985.25,3059.5,440.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,,0.25
20,"(210.5, 0.0)","(-407.0, 309.5)",1,1,3090.5,3270.0,210.5,210.5,0.0,210.5,105.25,0,0,0,1,0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,,0.25
21,"(-305.5, 210.5)","(309.5, 440.5)",2,2,3465.5,3710.5,440.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,440.5,309.5,131.0,375.0,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
22,"(-241.5, 108.5)","(-305.5, 440.5)",2,1,3533.0,3405.0,-305.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,,,,,0.25
23,"(-305.5, 108.5)","(440.5, 0.0)",2,1,3753.25,3845.5,440.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,,0.25
24,"(-49.0, 440.5)","(-49.0, 0.0)",1,2,3949.0,4286.0,440.5,440.5,-49.0,489.5,195.75,1,0,0,1,1,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,,,,,0.25
25,"(-407.0, 210.5)","(-241.5, 108.5)",2,1,3882.5,4044.5,-241.5,210.5,-407.0,617.5,-98.25,1,0,0,1,1,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,,,,,0.25
26,"(-241.5, 0.0)","(-305.5, -49.0)",1,2,3761.75,4044.5,0.0,0.0,-241.5,241.5,-120.75,0,0,0,0,1,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,,,,,,,,,0.25
27,"(-49.0, 440.5)","(108.5, 0.0)",1,2,3957.5,4485.0,440.5,440.5,-49.0,489.5,195.75,1,0,0,1,1,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,,,,,0.25
28,"(-305.5, -241.5)","(-305.5, -49.0)",2,1,3780.25,4179.5,-305.5,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,,,,,,,,,0.25
29,"(-49.0, 210.5)","(-407.0, 440.5)",1,2,3861.0,4390.0,210.5,210.5,-49.0,259.5,80.75,1,0,0,1,1,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,,0.25
30,"(-241.5, 440.5)","(108.5, 210.5)",2,2,4020.5,4600.5,210.5,440.5,-241.5,682.0,99.5,1,0,0,1,1,210.5,108.5,102.0,159.5,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
31,"(-49.0, 210.5)","(-407.0, -49.0)",1,2,4101.25,4811.0,210.5,210.5,-49.0,259.5,80.75,1,0,0,1,1,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,,,,,0.25
32,"(-407.0, 0.0)","(108.5, 210.5)",2,1,4260.75,4919.5,108.5,0.0,-407.0,407.0,-203.5,0,0,0,0,1,210.5,108.5,102.0,159.5,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
33,"(-407.0, 108.5)","(210.5, 440.5)",2,2,4586.25,5360.0,440.5,108.5,-407.0,515.5,-149.25,1,0,0,1,1,440.5,210.5,230.0,325.5,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
34,"(-305.5, -49.0)","(440.5, 0.0)",2,1,4806.5,5800.5,440.5,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,,0.25
35,"(-305.5, 440.5)","(-49.0, 440.5)",2,1,5002.25,5751.5,-49.0,440.5,-305.5,746.0,67.5,1,0,0,1,1,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,,0.25
36,"(-241.5, -49.0)","(-407.0, 108.5)",1,1,4857.0,5510.0,-241.5,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,,,,,0.25
37,"(-407.0, 440.5)","(-407.0, 309.5)",1,2,4873.75,5950.5,440.5,440.5,-407.0,847.5,16.75,1,0,0,1,1,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,,0.25
38,"(-49.0, 0.0)","(-407.0, 0.0)",1,1,4849.25,5901.5,-49.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,,0.25
39,"(309.5, 440.5)","(-305.5, 0.0)",1,1,5224.25,6211.0,309.5,440.5,309.5,131.0,375.0,0,1,0,2,0,0.0,-305.5,305.5,-152.75,0,0,0,0,1,1.0,0.0,2.0,0.0,,,,,0.25
40,"(-305.5, -241.5)","(-49.0, 108.5)",2,2,5254.0,6319.5,108.5,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,,0.25
41,"(-305.5, 309.5)","(440.5, 0.0)",2,2,5474.25,6319.5,0.0,309.5,-305.5,615.0,2.0,1,0,0,1,1,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,,0.25
42,"(309.5, 0.0)","(-407.0, -49.0)",1,1,5629.0,6629.0,309.5,309.5,0.0,309.5,154.75,0,0,0,1,0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,,,,,0.25
43,"(-305.5, 210.5)","(309.5, 0.0)",2,2,5783.75,6629.0,0.0,210.5,-305.5,516.0,-47.5,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.25
44,"(-305.5, -49.0)","(-407.0, -305.5)",1,1,5606.5,6323.5,-305.5,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,,,,,0.25
45,"(-407.0, 0.0)","(210.5, 309.5)",2,1,5866.5,6534.0,210.5,0.0,-407.0,407.0,-203.5,0,0,0,0,1,309.5,210.5,99.0,260.0,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
46,"(309.5, 440.5)","(-305.5, -241.5)",1,2,6241.5,6974.5,440.5,440.5,309.5,131.0,375.0,0,1,0,2,0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,1.0,0.0,2.0,0.0,,,,,0.25
47,"(108.5, 309.5)","(-305.5, 0.0)",1,1,6450.5,7083.0,108.5,309.5,108.5,201.0,209.0,0,1,0,2,0,0.0,-305.5,305.5,-152.75,0,0,0,0,1,1.0,0.0,2.0,0.0,,,,,0.25
48,"(-49.0, 440.5)","(-407.0, 0.0)",1,1,6646.25,7034.0,-49.0,440.5,-49.0,489.5,195.75,1,0,0,1,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,,0.25
49,"(-407.0, -305.5)","(-305.5, 309.5)",2,2,6648.25,7343.5,309.5,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,,,,,0.25
50,"(-241.5, 108.5)","(-49.0, 309.5)",2,2,6778.5,7653.0,309.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,,,,,0.25
51,"(-49.0, 108.5)","(210.5, 309.5)",2,2,7038.5,7962.5,309.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,309.5,210.5,99.0,260.0,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
52,"(-49.0, 108.5)","(-407.0, 210.5)",1,2,7068.25,8071.0,108.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,,0.25
53,"(-305.5, 0.0)","(210.5, 0.0)",2,1,7173.5,8281.5,210.5,0.0,-305.5,305.5,-152.75,0,0,0,0,1,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,,,,,0.25
