round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
54,"(-305.5, -49.0)","(-305.5, 108.5)",2,1,7075.0,7976.0,-305.5,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,,,,,0.25
55,"(309.5, 0.0)","(-305.5, 210.5)",1,1,7229.75,8285.5,309.5,309.5,0.0,309.5,154.75,0,0,0,1,0,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,,,,,0.25
56,"(309.5, 440.5)","(-49.0, 210.5)",1,2,7604.75,8726.0,440.5,440.5,309.5,131.0,375.0,0,1,0,2,0,210.5,-49.0,259.5,80.75,1,0,0,1,1,1.0,0.0,2.0,0.0,,,,,0.25
57,"(-305.5, 309.5)","(-49.0, 108.5)",2,2,7634.5,8834.5,108.5,309.5,-305.5,615.0,2.0,1,0,0,1,1,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,,0.25
58,"(-241.5, 440.5)","(-49.0, 108.5)",1,2,7734.0,9275.0,440.5,440.5,-241.5,682.0,99.5,1,0,0,1,1,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,,0.25
59,"(-407.0, 309.5)","(-49.0, 440.5)",2,1,7929.75,9226.0,-49.0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,,0.25
60,"(-305.5, 309.5)","(-49.0, 108.5)",2,1,7959.5,9177.0,-49.0,309.5,-305.5,615.0,2.0,1,0,0,1,1,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,,0.25
61,"(-49.0, 309.5)","(-407.0, 440.5)",1,1,8089.75,9128.0,-49.0,309.5,-49.0,358.5,130.25,1,0,0,1,1,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,,0.25
62,"(440.5, 0.0)","(-305.5, 309.5)",1,1,8310.0,9568.5,440.5,440.5,0.0,440.5,220.25,0,0,0,1,0,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,,,,,0.25
63,"(-407.0, 309.5)","(309.5, 0.0)",2,1,8464.75,9878.0,309.5,309.5,-407.0,716.5,-48.75,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.25
64,"(-241.5, 108.5)","(309.5, 0.0)",2,1,8619.5,10187.5,309.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.25
65,"(108.5, 309.5)","(210.5, 0.0)",1,1,8828.5,10296.0,108.5,309.5,108.5,201.0,209.0,0,1,0,2,0,210.5,0.0,210.5,105.25,0,0,0,1,0,1.0,0.0,2.0,0.0,,,,,0.25
66,"(-241.5, 0.0)","(-407.0, 309.5)",2,2,8779.75,10605.5,309.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,,0.25
67,"(-407.0, 0.0)","(-407.0, 210.5)",2,1,8681.5,10198.5,-407.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,,0.25
68,"(-305.5, 309.5)","(-241.5, 108.5)",1,1,8683.5,9893.0,-305.5,309.5,-305.5,615.0,2.0,1,0,0,1,1,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,,,,,0.25
69,"(108.5, 440.5)","(-407.0, 0.0)",1,1,8958.0,10001.5,108.5,440.5,108.5,332.0,274.5,0,1,0,2,0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,1.0,0.0,2.0,0.0,,,,,0.25
70,"(-241.5, 309.5)","(-407.0, 108.5)",1,1,8992.0,9760.0,-241.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,,,,,0.25
71,"(-407.0, 108.5)","(-49.0, 108.5)",2,2,9021.75,9868.5,108.5,108.5,-407.0,515.5,-149.25,1,0,0,1,1,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,,0.25
72,"(108.5, 210.5)","(210.5, 309.5)",2,1,9281.75,10079.0,210.5,210.5,108.5,102.0,159.5,0,1,0,2,0,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.25
73,"(-305.5, -49.0)","(-241.5, 0.0)",2,2,9161.0,10079.0,0.0,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,,,,,0.25
74,"(-49.0, 440.5)","(-241.5, -49.0)",1,2,9356.75,10519.5,440.5,440.5,-49.0,489.5,195.75,1,0,0,1,1,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,,,,,0.25
75,"(-407.0, -241.5)","(309.5, 0.0)",2,2,9511.5,10519.5,0.0,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.25
76,"(210.5, 309.5)","(-241.5, 108.5)",1,2,9771.5,10829.0,309.5,309.5,210.5,99.0,260.0,0,1,0,2,0,108.5,-241.5,350.0,-66.5,1,0,0,1,1,1.0,0.0,2.0,0.0,,,,,0.25
77,"(-305.5, 309.5)","(-241.5, -49.0)",1,1,9773.5,10523.5,-305.5,309.5,-305.5,615.0,2.0,1,0,0,1,1,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,,,,,0.25
78,"(108.5, 440.5)","(210.5, 309.5)",1,2,10048.0,10964.0,440.5,440.5,108.5,332.0,274.5,0,1,0,2,0,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.25
79,"(210.5, 309.5)","(-305.5, 440.5)",1,1,10308.0,11174.5,210.5,309.5,210.5,99.0,260.0,0,1,0,2,0,440.5,-305.5,746.0,67.5,1,0,0,1,1,1.0,0.0,2.0,0.0,,,,,0.25
80,"(210.5, 309.5)","(-305.5, 440.5)",1,1,10568.0,11385.0,210.5,309.5,210.5,99.0,260.0,0,1,0,2,0,440.5,-305.5,746.0,67.5,1,0,0,1,1,1.0,0.0,2.0,0.0,,,,,0.25
81,"(-305.5, 309.5)","(-407.0, -49.0)",1,1,10570.0,11079.5,-305.5,309.5,-305.5,615.0,2.0,1,0,0,1,1,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,,,,,0.25
82,"(-305.5, 309.5)","(-407.0, 210.5)",1,1,10572.0,10774.0,-305.5,309.5,-305.5,615.0,2.0,1,0,0,1,1,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,,0.25
83,"(210.5, 440.5)","(-49.0, 0.0)",1,2,10897.5,11214.5,440.5,440.5,210.5,230.0,325.5,0,1,0,2,0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,1.0,0.0,2.0,0.0,,,,,0.25
84,"(-49.0, 210.5)","(-305.5, 440.5)",1,1,10978.25,11165.5,-49.0,210.5,-49.0,259.5,80.75,1,0,0,1,1,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,,,,,0.25
85,"(210.5, 309.5)","(440.5, 0.0)",1,2,11238.25,11475.0,309.5,309.5,210.5,99.0,260.0,0,1,0,2,0,440.5,0.0,440.5,220.25,0,0,0,1,0,1.0,0.0,2.0,0.0,,,,,0.25
86,"(309.5, 0.0)","(210.5, 309.5)",2,1,11498.25,11685.5,210.5,309.5,0.0,309.5,154.75,0,0,0,1,0,309.5,210.5,99.0,260.0,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
87,"(-305.5, 210.5)","(309.5, 440.5)",2,1,11873.25,11995.0,309.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,440.5,309.5,131.0,375.0,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
88,"(440.5, 0.0)","(108.5, 0.0)",1,1,12093.5,12435.5,440.5,440.5,0.0,440.5,220.25,0,0,0,1,0,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,,,,,0.25
89,"(108.5, 309.5)","(-407.0, -305.5)",1,2,12302.5,12745.0,309.5,309.5,108.5,201.0,209.0,0,1,0,2,0,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,1.0,0.0,2.0,0.0,,,,,0.25
90,"(-407.0, 440.5)","(-305.5, 108.5)",1,1,12319.25,12338.0,-407.0,440.5,-407.0,847.5,16.75,1,0,0,1,1,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,,,,,0.25
91,"(-241.5, 309.5)","(-241.5, 440.5)",2,1,12418.75,12096.5,-241.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,,,,,0.25
92,"(-241.5, 0.0)","(-49.0, 210.5)",2,2,12499.5,12307.0,210.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,,0.25
93,"(-305.5, 440.5)","(-49.0, 440.5)",2,2,12695.25,12747.5,440.5,440.5,-305.5,746.0,67.5,1,0,0,1,1,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,,0.25
94,"(-49.0, 309.5)","(-305.5, 309.5)",1,1,12825.5,12698.5,-49.0,309.5,-49.0,358.5,130.25,1,0,0,1,1,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,,,,,0.25
95,"(-407.0, 0.0)","(-49.0, 309.5)",2,1,12955.75,12649.5,-49.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,,,,,0.25
96,"(-407.0, 0.0)","(108.5, 440.5)",2,1,13230.25,12758.0,108.5,0.0,-407.0,407.0,-203.5,0,0,0,0,1,440.5,108.5,332.0,274.5,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
97,"(-241.5, -49.0)","(-305.5, 210.5)",2,1,13182.75,12452.5,-305.5,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,,,,,0.25
98,"(309.5, 440.5)","(-49.0, 0.0)",1,2,13557.75,12893.0,440.5,440.5,309.5,131.0,375.0,0,1,0,2,0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,1.0,0.0,2.0,0.0,,,,,0.25
99,"(-305.5, 309.5)","(108.5, 0.0)",2,1,13612.0,13001.5,108.5,309.5,-305.5,615.0,2.0,1,0,0,1,1,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,,,,,0.25
100,"(-407.0, 108.5)","(108.5, 0.0)",2,2,13666.25,13001.5,0.0,108.5,-407.0,515.5,-149.25,1,0,0,1,1,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,,,,,0.25
101,"(210.5, 0.0)","(-407.0, 210.5)",1,2,13771.5,13001.5,0.0,210.5,0.0,210.5,105.25,0,0,0,1,0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,,0.25
102,"(-49.0, 0.0)","(-407.0, -49.0)",1,1,13747.0,12952.5,-49.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,,,,,0.25
103,"(440.5, 0.0)","(108.5, 309.5)",1,2,13967.25,12952.5,0.0,440.5,0.0,440.5,220.25,0,0,0,1,0,309.5,108.5,201.0,209.0,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
104,"(-407.0, 210.5)","(-241.5, 0.0)",1,1,13869.0,12545.5,-407.0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,,,,,0.25
105,"(-49.0, 0.0)","(210.5, 440.5)",2,2,14194.5,12986.0,440.5,0.0,-49.0,49.0,-24.5,0,0,0,0,1,440.5,210.5,230.0,325.5,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
106,"(-305.5, -49.0)","(-407.0, -305.5)",1,2,14017.25,12937.0,-49.0,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,,,,,0.25
107,"(-407.0, -49.0)","(-49.0, 210.5)",2,1,14098.0,12888.0,-49.0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,,0.25
108,"(-49.0, 210.5)","(108.5, 210.5)",2,2,14257.5,13098.5,210.5,210.5,-49.0,259.5,80.75,1,0,0,1,1,210.5,108.5,102.0,159.5,0,1,0,2,0,,,,,1.0,0.0,2.0,0.0,0.25
109,"(-241.5, 309.5)","(-407.0, 0.0)",1,2,14291.5,13408.0,309.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,,0.25
110,"(210.5, 0.0)","(-407.0, -305.5)",1,2,14396.75,13408.0,0.0,210.5,0.0,210.5,105.25,0,0,0,1,0,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,,,,,0.25
111,"(108.5, 309.5)","(-305.5, -49.0)",1,1,14605.75,13516.5,108.5,309.5,108.5,201.0,209.0,0,1,0,2,0,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,1.0,0.0,2.0,0.0,,,,,0.25
112,"(210.5, 309.5)","(-241.5, 0.0)",1,1,14865.75,13727.0,210.5,309.5,210.5,99.0,260.0,0,1,0,2,0,0.0,-241.5,241.5,-120.75,0,0,0,0,1,1.0,0.0,2.0,0.0,,,,,0.25
113,"(-407.0, -49.0)","(-407.0, 108.5)",2,1,14716.5,13320.0,-407.0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,,,,,0.25
114,"(-407.0, 440.5)","(-241.5, -49.0)",1,1,14733.25,12913.0,-407.0,440.5,-407.0,847.5,16.75,1,0,0,1,1,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,,,,,0.25
115,"(-407.0, 0.0)","(-49.0, 309.5)",2,2,14863.5,13222.5,309.5,0.0,-407.0,407.0,-203.5,0,0,0,0,1,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,,,,,0.25
116,"(108.5, 210.5)","(-305.5, -241.5)",1,2,15023.0,13433.0,210.5,210.5,108.5,102.0,159.5,0,1,0,2,0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,1.0,0.0,2.0,0.0,,,,,0.25
117,"(440.5, 0.0)","(-407.0, 309.5)",1,1,15243.25,13873.5,440.5,440.5,0.0,440.5,220.25,0,0,0,1,0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,,0.25
