round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
1,"(1.006, 1.446)","(0.427, 1.006)",1,1,1226.0,1006.0,1.006,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,0.25
2,"(0.583, 1.006)","(0.583, 0.841)",1,2,974.057,1012.0360000000001,1.006,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,0.25
3,"(0.649, 1.739)","(0.583, 1.739)",1,1,1163.024058,656.811364,0.649,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,0.25
4,"(0.841, 1.006)","(0.427, 2.164)",2,2,1506.697667139,1421.3397916960002,2.164,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,0.25
5,"(0.427, 1.184)","(0.841, 2.164)",2,1,2263.8132448763477,1195.3467648163362,0.841,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,0.25
6,"(0.583, 1.184)","(0.841, 1.184)",2,1,2292.1109104373018,1005.2866292105386,0.841,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,0.25
7,"(0.649, 2.164)","(0.649, 0.841)",1,2,3223.8539955300653,2175.440265611606,2.164,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,0.25
8,"(0.427, 0.649)","(0.583, 0.841)",2,2,2295.3840448174064,1829.5452633793604,0.841,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,0.25
9,"(0.583, 2.164)","(0.649, 1.184)",1,1,3152.7099855567076,1066.624888550167,0.583,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,0.25
10,"(1.446, 1.739)","(0.427, 1.006)",1,1,5020.690651999057,1542.3395888435416,1.446,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,0.25
11,"(0.427, 1.739)","(1.739, 2.164)",2,1,9797.87780737616,2682.128544998919,1.739,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,0.25
12,"(0.649, 1.184)","(0.583, 0.841)",1,2,8979.75501046025,3175.6401972787203,1.184,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,0.25
13,"(0.583, 1.184)","(0.649, 1.006)",1,1,7933.6135517416305,1851.3982350134938,0.583,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,0.25
