round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
743,"(-49.0, 108.5)","(-241.5, 309.5)",2,2,88050.25,92083.5,309.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,1.5
744,"(-49.0, 0.0)","(-49.0, 309.5)",2,2,88180.5,92393.0,309.5,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,1.5
745,"(-305.5, 108.5)","(-305.5, 0.0)",1,2,88082.0,92501.5,108.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,1.5
746,"(-407.0, 440.5)","(-305.5, 0.0)",1,2,88098.75,92942.0,440.5,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,1.5
747,"(309.5, 0.0)","(-49.0, 210.5)",1,1,88253.5,93251.5,309.5,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,1.5
748,"(-241.5, 108.5)","(108.5, 309.5)",2,1,88462.5,93360.0,108.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,1.5
749,"(-49.0, 0.0)","(-241.5, 309.5)",2,1,88496.5,93118.5,-241.5,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,1.5
750,"(-407.0, -241.5)","(-407.0, 0.0)",2,2,88293.0,93118.5,0.0,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,1.5
751,"(-241.5, 0.0)","(-241.5, 309.5)",2,1,88327.0,92877.0,-241.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,1.5
752,"(-49.0, 309.5)","(-241.5, 440.5)",1,2,88457.25,93186.5,309.5,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,1.5
753,"(-407.0, -305.5)","(210.5, 0.0)",2,1,88562.5,93397.0,210.5,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,1.5
754,"(-305.5, 309.5)","(-241.5, -49.0)",1,2,88564.5,93706.5,309.5,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,1.5
755,"(108.5, 210.5)","(-407.0, 210.5)",1,1,88724.0,93815.0,108.5,210.5,108.5,102.0,159.5,0,1,0,2,0,1.0,0.0,2.0,0.0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,1.5
756,"(-241.5, 108.5)","(-49.0, 108.5)",2,2,88753.75,93923.5,108.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,1.5
757,"(210.5, 440.5)","(-241.5, 0.0)",1,2,89079.25,94364.0,440.5,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,1.5
758,"(-407.0, -305.5)","(-407.0, 108.5)",2,1,88930.0,93957.0,-407.0,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,1.5
759,"(210.5, 309.5)","(-407.0, 440.5)",1,2,89190.0,94266.5,309.5,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,1.5
760,"(-305.5, -241.5)","(108.5, 0.0)",2,2,89244.25,94266.5,0.0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,1.5
761,"(210.5, 440.5)","(-407.0, 440.5)",1,2,89569.75,94707.0,440.5,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,1.5
762,"(-49.0, 309.5)","(108.5, 0.0)",1,2,89700.0,95016.5,309.5,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,1.5
763,"(108.5, 210.5)","(108.5, 440.5)",2,1,89974.5,95125.0,108.5,210.5,108.5,102.0,159.5,0,1,0,2,0,1.0,0.0,2.0,0.0,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,1.5
764,"(-407.0, 0.0)","(-407.0, 108.5)",2,1,89825.25,94718.0,-407.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,1.5
