round,g1_a,g1_b,g2_a,g2_b,ee_choice,coin_flip,realized,wealth_expected,wealth_actual,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers
781,-407.0,108.5,210.5,440.5,2,1,210.5,85501.0,82506.0,108.5,-407.0,515.5,-149.25,1,0,0,1,1,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
782,-241.5,108.5,-305.5,108.5,1,1,-241.5,85434.5,82264.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,,,,
783,-49.0,309.5,-407.0,108.5,1,2,309.5,85564.75,82574.0,309.5,-49.0,358.5,130.25,1,0,0,1,1,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,,,,
784,-305.5,0.0,-49.0,210.5,2,2,210.5,85645.5,82784.5,0.0,-305.5,305.5,-152.75,0,0,0,0,1,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,
785,440.5,0.0,-49.0,108.5,1,1,440.5,85865.75,83225.0,440.5,0.0,440.5,220.25,0,0,0,1,0,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,
786,-407.0,-241.5,-49.0,108.5,2,2,108.5,85895.5,83333.5,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,
787,-241.5,-49.0,309.5,0.0,2,1,309.5,86050.25,83643.0,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
788,309.5,440.5,440.5,0.0,1,1,309.5,86425.25,83952.5,440.5,309.5,131.0,375.0,0,1,0,2,0,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,1.0,0.0,2.0,0.0
789,-241.5,309.5,309.5,440.5,2,2,440.5,86800.25,84393.0,309.5,-241.5,551.0,34.0,1,0,0,1,1,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
790,309.5,440.5,-407.0,440.5,1,2,440.5,87175.25,84833.5,440.5,309.5,131.0,375.0,0,1,0,2,0,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
791,108.5,210.5,-241.5,0.0,1,1,108.5,87334.75,84942.0,210.5,108.5,102.0,159.5,0,1,0,2,0,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,1.0,0.0,2.0,0.0
792,108.5,309.5,-49.0,210.5,1,2,309.5,87543.75,85251.5,309.5,108.5,201.0,209.0,0,1,0,2,0,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
793,-241.5,0.0,-305.5,-241.5,1,2,0.0,87423.0,85251.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,,,,
794,-49.0,108.5,-305.5,309.5,1,1,-49.0,87452.75,85202.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,,,,
795,-305.5,-241.5,210.5,309.5,2,2,309.5,87712.75,85512.0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
796,-407.0,210.5,-241.5,210.5,2,2,210.5,87697.25,85722.5,210.5,-407.0,617.5,-98.25,1,0,0,1,1,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,,,,
797,210.5,440.5,-407.0,108.5,1,2,440.5,88022.75,86163.0,440.5,210.5,230.0,325.5,0,1,0,2,0,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
798,-241.5,0.0,309.5,440.5,2,2,440.5,88397.75,86603.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
799,-49.0,309.5,309.5,0.0,2,1,309.5,88552.5,86913.0,309.5,-49.0,358.5,130.25,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
800,-407.0,0.0,-49.0,0.0,2,2,0.0,88528.0,86913.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,,,,
801,-407.0,309.5,-305.5,0.0,1,1,-407.0,88479.25,86506.0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,,,,
802,-305.5,108.5,309.5,440.5,2,1,309.5,88854.25,86815.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
803,108.5,210.5,-407.0,-49.0,1,1,108.5,89013.75,86924.0,210.5,108.5,102.0,159.5,0,1,0,2,0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,1.0,0.0,2.0,0.0
804,-305.5,440.5,-241.5,440.5,2,1,-241.5,89113.25,86682.5,440.5,-305.5,746.0,67.5,1,0,0,1,1,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,,,,
805,-241.5,0.0,-49.0,0.0,2,1,-49.0,89088.75,86633.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,,,,
806,440.5,0.0,-407.0,108.5,1,2,0.0,89309.0,86633.5,440.5,0.0,440.5,220.25,0,0,0,1,0,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,,,,
807,-407.0,-305.5,-49.0,309.5,2,1,-49.0,89439.25,86584.5,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,,,,
808,-49.0,108.5,-241.5,-49.0,1,1,-49.0,89469.0,86535.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,,,,
809,-407.0,-49.0,-305.5,440.5,2,2,440.5,89536.5,86976.0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,,,,
810,-49.0,309.5,-241.5,-49.0,1,2,309.5,89666.75,87285.5,309.5,-49.0,358.5,130.25,1,0,0,1,1,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,,,,
811,-49.0,108.5,-241.5,-49.0,1,2,108.5,89696.5,87394.0,108.5,-49.0,157.5,29.75,1,0,0,1,1,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,,,,
812,-305.5,440.5,-241.5,-49.0,1,2,440.5,89764.0,87834.5,440.5,-305.5,746.0,67.5,1,0,0,1,1,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,,,,
813,-305.5,-241.5,108.5,0.0,2,1,108.5,89818.25,87943.0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,,,,
814,-305.5,309.5,309.5,0.0,2,2,0.0,89973.0,87943.0,309.5,-305.5,615.0,2.0,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
815,-241.5,0.0,-305.5,-49.0,1,1,-241.5,89852.25,87701.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,,,,,,,,
816,-49.0,108.5,-407.0,309.5,1,1,-49.0,89882.0,87652.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,
817,309.5,0.0,-305.5,0.0,1,2,0.0,90036.75,87652.5,309.5,0.0,309.5,154.75,0,0,0,1,0,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,,,,
818,-49.0,0.0,-241.5,210.5,2,1,-241.5,90021.25,87411.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,,,,
819,-407.0,309.5,-241.5,440.5,2,2,440.5,90120.75,87851.5,309.5,-407.0,716.5,-48.75,1,0,0,1,1,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,,,,
820,-49.0,0.0,-407.0,0.0,1,1,-49.0,90096.25,87802.5,0.0,-49.0,49.0,-24.5,0,0,0,0,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,
821,108.5,210.5,-49.0,440.5,2,1,-49.0,90292.0,87753.5,210.5,108.5,102.0,159.5,0,1,0,2,0,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
822,309.5,0.0,-49.0,210.5,1,2,0.0,90446.75,87753.5,309.5,0.0,309.5,154.75,0,0,0,1,0,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,
823,-407.0,-49.0,-49.0,440.5,2,2,440.5,90642.5,88194.0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,
824,-305.5,108.5,-407.0,0.0,1,2,108.5,90544.0,88302.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,
825,-241.5,440.5,-241.5,210.5,1,2,440.5,90643.5,88743.0,440.5,-241.5,682.0,99.5,1,0,0,1,1,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,,,,
826,-305.5,108.5,-407.0,0.0,1,2,108.5,90545.0,88851.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,
827,-241.5,0.0,-407.0,-305.5,1,2,0.0,90424.25,88851.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,,,,
828,-241.5,0.0,-407.0,0.0,1,2,0.0,90303.5,88851.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,
829,-49.0,440.5,-305.5,440.5,1,1,-49.0,90499.25,88802.5,440.5,-49.0,489.5,195.75,1,0,0,1,1,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,,,,
830,-49.0,108.5,309.5,440.5,2,2,440.5,90874.25,89243.0,108.5,-49.0,157.5,29.75,1,0,0,1,1,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
831,-241.5,309.5,-241.5,0.0,1,1,-241.5,90908.25,89001.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,,,,
832,-407.0,440.5,-407.0,0.0,1,2,440.5,90925.0,89442.0,440.5,-407.0,847.5,16.75,1,0,0,1,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,
833,210.5,440.5,-241.5,309.5,1,2,440.5,91250.5,89882.5,440.5,210.5,230.0,325.5,0,1,0,2,0,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
834,-241.5,440.5,210.5,309.5,2,1,210.5,91510.5,90093.0,440.5,-241.5,682.0,99.5,1,0,0,1,1,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
835,210.5,309.5,-407.0,-49.0,1,1,210.5,91770.5,90303.5,309.5,210.5,99.0,260.0,0,1,0,2,0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,1.0,0.0,2.0,0.0
836,-305.5,210.5,-407.0,440.5,2,2,440.5,91787.25,90744.0,210.5,-305.5,516.0,-47.5,1,0,0,1,1,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,
837,-407.0,0.0,108.5,440.5,2,2,440.5,92061.75,91184.5,0.0,-407.0,407.0,-203.5,0,0,0,0,1,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
838,108.5,440.5,-407.0,440.5,1,1,108.5,92336.25,91293.0,440.5,108.5,332.0,274.5,0,1,0,2,0,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
839,108.5,210.5,-305.5,210.5,1,2,210.5,92495.75,91503.5,210.5,108.5,102.0,159.5,0,1,0,2,0,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
840,108.5,440.5,-49.0,309.5,1,1,108.5,92770.25,91612.0,440.5,108.5,332.0,274.5,0,1,0,2,0,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
841,-49.0,210.5,309.5,0.0,2,2,0.0,92925.0,91612.0,210.5,-49.0,259.5,80.75,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
842,-407.0,-305.5,-49.0,108.5,2,2,108.5,92954.75,91720.5,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,
843,-241.5,0.0,-407.0,440.5,2,2,440.5,92971.5,92161.0,0.0,-241.5,241.5,-120.75,0,0,0,0,1,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,
844,309.5,0.0,-305.5,0.0,1,2,0.0,93126.25,92161.0,309.5,0.0,309.5,154.75,0,0,0,1,0,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,,,,
845,108.5,0.0,-241.5,108.5,1,1,108.5,93180.5,92269.5,108.5,0.0,108.5,54.25,0,0,0,1,0,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,,,,
846,108.5,309.5,-407.0,440.5,1,1,108.5,93389.5,92378.0,309.5,108.5,201.0,209.0,0,1,0,2,0,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
847,210.5,0.0,210.5,309.5,2,1,210.5,93649.5,92588.5,210.5,0.0,210.5,105.25,0,0,0,1,0,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
848,-305.5,309.5,-241.5,0.0,1,2,309.5,93651.5,92898.0,309.5,-305.5,615.0,2.0,1,0,0,1,1,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,,,,
849,-49.0,210.5,210.5,309.5,2,1,210.5,93911.5,93108.5,210.5,-49.0,259.5,80.75,1,0,0,1,1,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
850,-407.0,108.5,-49.0,0.0,2,1,-49.0,93887.0,93059.5,108.5,-407.0,515.5,-149.25,1,0,0,1,1,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,,,,
851,-305.5,309.5,-305.5,-241.5,1,1,-305.5,93889.0,92754.0,309.5,-305.5,615.0,2.0,1,0,0,1,1,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,,,,
852,309.5,0.0,-49.0,0.0,1,1,309.5,94043.75,93063.5,309.5,0.0,309.5,154.75,0,0,0,1,0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,,,,
853,108.5,309.5,-241.5,108.5,1,1,108.5,94252.75,93172.0,309.5,108.5,201.0,209.0,0,1,0,2,0,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
854,309.5,440.5,210.5,309.5,1,2,440.5,94627.75,93612.5,440.5,309.5,131.0,375.0,0,1,0,2,0,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
855,-241.5,210.5,-241.5,309.5,2,2,309.5,94661.75,93922.0,210.5,-241.5,452.0,-15.5,1,0,0,1,1,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,,,,
856,-407.0,309.5,-305.5,-241.5,1,1,-407.0,94613.0,93515.0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,,,,
857,-49.0,0.0,-407.0,-241.5,1,1,-49.0,94588.5,93466.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,,,,
858,-305.5,108.5,309.5,0.0,2,1,309.5,94743.25,93775.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
859,-241.5,309.5,-305.5,-241.5,1,2,309.5,94777.25,94085.0,309.5,-241.5,551.0,34.0,1,0,0,1,1,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,,,,
860,-241.5,-49.0,-241.5,210.5,2,1,-241.5,94761.75,93843.5,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,,,,
861,309.5,440.5,-241.5,0.0,1,2,440.5,95136.75,94284.0,440.5,309.5,131.0,375.0,0,1,0,2,0,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,1.0,0.0,2.0,0.0
862,-407.0,-305.5,-407.0,210.5,2,1,-407.0,95038.5,93877.0,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,
863,-241.5,0.0,-305.5,309.5,2,1,-305.5,95040.5,93571.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,,,,
864,309.5,0.0,440.5,0.0,2,1,440.5,95260.75,94012.0,309.5,0.0,309.5,154.75,0,0,0,1,0,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,
865,-305.5,0.0,309.5,0.0,2,2,0.0,95415.5,94012.0,0.0,-305.5,305.5,-152.75,0,0,0,0,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
866,-305.5,0.0,-241.5,0.0,2,1,-241.5,95294.75,93770.5,0.0,-305.5,305.5,-152.75,0,0,0,0,1,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,,,,
867,-241.5,-49.0,440.5,0.0,2,2,0.0,95515.0,93770.5,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,
868,440.5,0.0,-305.5,440.5,1,2,0.0,95735.25,93770.5,440.5,0.0,440.5,220.25,0,0,0,1,0,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,,,,
869,-241.5,108.5,-407.0,-241.5,1,2,108.5,95668.75,93879.0,108.5,-241.5,350.0,-66.5,1,0,0,1,1,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,,,,
870,108.5,309.5,-407.0,440.5,1,1,108.5,95877.75,93987.5,309.5,108.5,201.0,209.0,0,1,0,2,0,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
871,-407.0,0.0,108.5,309.5,2,1,108.5,96086.75,94096.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
872,-49.0,210.5,-407.0,309.5,1,2,210.5,96167.5,94306.5,210.5,-49.0,259.5,80.75,1,0,0,1,1,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,
873,-241.5,210.5,-49.0,309.5,2,1,-49.0,96297.75,94257.5,210.5,-241.5,452.0,-15.5,1,0,0,1,1,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,,,,
874,-49.0,0.0,-49.0,440.5,2,2,440.5,96493.5,94698.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,
875,108.5,440.5,-241.5,108.5,1,1,108.5,96768.0,94806.5,440.5,108.5,332.0,274.5,0,1,0,2,0,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
876,-305.5,309.5,309.5,440.5,2,1,309.5,97143.0,95116.0,309.5,-305.5,615.0,2.0,1,0,0,1,1,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
877,-241.5,210.5,-407.0,309.5,1,2,210.5,97127.5,95326.5,210.5,-241.5,452.0,-15.5,1,0,0,1,1,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,
878,-49.0,0.0,-305.5,440.5,2,1,-305.5,97195.0,95021.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,,,,
879,309.5,440.5,-305.5,108.5,1,1,309.5,97570.0,95330.5,440.5,309.5,131.0,375.0,0,1,0,2,0,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
880,-241.5,210.5,-305.5,-241.5,1,2,210.5,97554.5,95541.0,210.5,-241.5,452.0,-15.5,1,0,0,1,1,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,,,,
881,-241.5,0.0,-241.5,108.5,2,1,-241.5,97488.0,95299.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,,,,
882,440.5,0.0,108.5,309.5,1,2,0.0,97708.25,95299.5,440.5,0.0,440.5,220.25,0,0,0,1,0,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
883,-407.0,309.5,-407.0,108.5,1,2,309.5,97659.5,95609.0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,,,,
884,-241.5,440.5,-407.0,309.5,1,2,440.5,97759.0,96049.5,440.5,-241.5,682.0,99.5,1,0,0,1,1,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,
885,-49.0,108.5,-241.5,210.5,1,1,-49.0,97788.75,96000.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,,,,
886,-49.0,309.5,-241.5,210.5,1,2,309.5,97919.0,96310.0,309.5,-49.0,358.5,130.25,1,0,0,1,1,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,,,,
887,108.5,309.5,-305.5,-241.5,1,1,108.5,98128.0,96418.5,309.5,108.5,201.0,209.0,0,1,0,2,0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,1.0,0.0,2.0,0.0
888,210.5,440.5,108.5,0.0,1,1,210.5,98453.5,96629.0,440.5,210.5,230.0,325.5,0,1,0,2,0,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,1.0,0.0,2.0,0.0
889,-49.0,309.5,-305.5,-241.5,1,1,-49.0,98583.75,96580.0,309.5,-49.0,358.5,130.25,1,0,0,1,1,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,,,,
890,-407.0,210.5,-407.0,0.0,1,2,210.5,98485.5,96790.5,210.5,-407.0,617.5,-98.25,1,0,0,1,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,
891,309.5,0.0,108.5,440.5,2,1,108.5,98760.0,96899.0,309.5,0.0,309.5,154.75,0,0,0,1,0,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
892,-241.5,309.5,-305.5,108.5,1,2,309.5,98794.0,97208.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,,,,
893,-49.0,309.5,-49.0,108.5,1,1,-49.0,98924.25,97159.5,309.5,-49.0,358.5,130.25,1,0,0,1,1,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,
894,210.5,0.0,-305.5,-49.0,1,1,210.5,99029.5,97370.0,210.5,0.0,210.5,105.25,0,0,0,1,0,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,,,,,,,,
895,-407.0,-241.5,-407.0,309.5,2,1,-407.0,98980.75,96963.0,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,
896,-407.0,-49.0,-241.5,-49.0,2,2,-49.0,98835.5,96914.0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,,,,
897,-305.5,108.5,108.5,440.5,2,1,108.5,99110.0,97022.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
898,-305.5,-49.0,-407.0,-305.5,1,2,-49.0,98932.75,96973.5,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,,,,
899,-305.5,-49.0,-305.5,210.5,2,2,210.5,98885.25,97184.0,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,,,,
900,-49.0,108.5,108.5,440.5,2,2,440.5,99159.75,97624.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
901,-241.5,210.5,-49.0,309.5,2,1,-49.0,99290.0,97575.5,210.5,-241.5,452.0,-15.5,1,0,0,1,1,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,,,,
902,-407.0,0.0,309.5,0.0,2,1,309.5,99444.75,97885.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
903,-407.0,0.0,-305.5,-241.5,1,2,0.0,99241.25,97885.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,,,,
904,210.5,440.5,-305.5,440.5,1,2,440.5,99566.75,98325.5,440.5,210.5,230.0,325.5,0,1,0,2,0,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
905,-407.0,108.5,108.5,309.5,2,1,108.5,99775.75,98434.0,108.5,-407.0,515.5,-149.25,1,0,0,1,1,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
906,-241.5,210.5,-407.0,440.5,2,1,-407.0,99792.5,98027.0,210.5,-241.5,452.0,-15.5,1,0,0,1,1,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,
907,-305.5,210.5,210.5,309.5,2,1,210.5,100052.5,98237.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
908,-305.5,108.5,-305.5,0.0,1,1,-305.5,99954.0,97932.0,108.5,-305.5,414.0,-98.5,1,0,0,1,1,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,,,,
909,-49.0,0.0,-407.0,0.0,1,2,0.0,99929.5,97932.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,
910,-305.5,0.0,210.5,0.0,2,2,0.0,100034.75,97932.0,0.0,-305.5,305.5,-152.75,0,0,0,0,1,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,,,,
911,210.5,309.5,-407.0,108.5,1,2,309.5,100294.75,98241.5,309.5,210.5,99.0,260.0,0,1,0,2,0,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
