round,g1_a,g1_b,g2_a,g2_b,ee_choice,coin_flip,realized,wealth_expected,wealth_actual,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers
708,210.5,0.0,108.5,210.5,2,2,210.5,78974.0,75209.0,210.5,0.0,210.5,105.25,0,0,0,1,0,210.5,108.5,102.0,159.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
709,108.5,0.0,108.5,210.5,2,2,210.5,79133.5,75419.5,108.5,0.0,108.5,54.25,0,0,0,1,0,210.5,108.5,102.0,159.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
710,-407.0,108.5,-305.5,210.5,2,1,-305.5,79086.0,75114.0,108.5,-407.0,515.5,-149.25,1,0,0,1,1,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,,,,
711,-305.5,108.5,-407.0,309.5,2,2,309.5,79037.25,75423.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,
712,-407.0,210.5,-305.5,0.0,1,2,210.5,78939.0,75634.0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,,,,
713,210.5,309.5,108.5,309.5,1,2,309.5,79199.0,75943.5,309.5,210.5,99.0,260.0,0,1,0,2,0,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
714,108.5,309.5,-407.0,0.0,1,1,108.5,79408.0,76052.0,309.5,108.5,201.0,209.0,0,1,0,2,0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,1.0,0.0,2.0,0.0
715,-407.0,0.0,108.5,0.0,2,1,108.5,79462.25,76160.5,0.0,-407.0,407.0,-203.5,0,0,0,0,1,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,,,,
716,-49.0,440.5,108.5,210.5,1,1,-49.0,79658.0,76111.5,440.5,-49.0,489.5,195.75,1,0,0,1,1,210.5,108.5,102.0,159.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
717,-241.5,0.0,440.5,0.0,2,1,440.5,79878.25,76552.0,0.0,-241.5,241.5,-120.75,0,0,0,0,1,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,
