round,g1_a,g1_b,g2_a,g2_b,ee_choice,coin_flip,realized,wealth_expected,wealth_actual,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers
253,0.427,0.841,1.184,1.446,2,2,1.446,2.457711785237518e+31,1.0878589596965847e+27,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0
254,0.427,0.649,0.427,0.841,2,2,0.841,1.5581892718405865e+31,9.148893851048277e+26,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2
255,1.006,1.446,0.649,1.184,1,2,1.446,1.9103400472765591e+31,1.3229300508615808e+27,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1
256,0.649,1.739,0.649,1.006,1,1,0.649,2.2809460164482116e+31,8.58581603009166e+26,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1
257,0.427,0.649,1.184,1.446,2,1,1.184,2.999444011629398e+31,1.0165606179628526e+27,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0
258,0.427,0.841,0.583,1.184,2,1,0.583,2.650008784274573e+31,5.9265484027234305e+26,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1
259,0.841,1.446,0.649,1.006,1,2,1.446,3.0302850448179743e+31,8.56978899033808e+26,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1
260,0.427,1.739,0.841,2.164,2,2,2.164,4.553003279839007e+31,1.8545023375091608e+27,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1
261,0.649,2.164,1.184,2.164,2,2,2.164,7.621727490450497e+31,4.0131430583698243e+27,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0
262,0.583,1.184,0.649,1.446,2,2,1.446,7.983759546246895e+31,5.803004862402766e+27,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1
263,0.649,1.184,0.427,0.583,1,1,0.649,7.317115624135279e+31,3.766150155699395e+27,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2
264,0.649,1.739,0.427,1.184,1,2,1.739,8.736636055217523e+31,6.549335120761248e+27,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1
265,0.583,1.184,0.427,1.184,1,1,0.583,7.718817954784681e+31,3.818262375403807e+27,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1
266,0.649,1.184,1.006,2.164,2,2,2.164,1.2234326458333718e+32,8.262719780373839e+27,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0
267,1.184,1.446,0.427,1.184,1,2,1.446,1.608813929270884e+32,1.1947892802420572e+28,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1
268,1.184,2.164,1.006,2.164,1,1,1.184,2.6931545175994596e+32,1.4146305078065957e+28,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0
269,0.427,1.006,0.583,1.446,2,2,1.446,2.7322052581046516e+32,2.045555714288337e+28,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1
270,0.427,0.841,0.841,1.446,2,2,1.446,3.124276712642669e+32,2.9578735628609355e+28,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1
271,1.184,1.446,0.649,2.164,1,2,1.446,4.10842387712511e+32,4.277085171896913e+28,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1
272,1.739,2.164,1.006,1.446,1,2,2.164,8.017589196209654e+32,9.255612311984919e+28,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0
273,0.649,1.446,1.739,2.164,2,2,2.164,1.564632531640314e+33,2.0029145043135366e+29,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0
274,0.427,1.006,1.184,1.739,2,1,1.184,2.2867104449923187e+33,2.371450773107227e+29,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0
275,1.006,1.739,0.427,1.446,1,1,1.006,3.138510085751958e+33,2.3856794777458703e+29,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1
276,0.649,0.841,0.427,1.446,2,2,1.446,2.9392146953067083e+33,3.449692524820528e+29,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1
277,1.006,1.739,0.649,0.841,1,2,1.739,4.0340721693084575e+33,5.9990153006628994e+29,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2
278,0.583,1.184,0.649,1.739,2,1,0.649,4.816682170154298e+33,3.893360930130222e+29,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1
279,0.649,1.446,0.841,2.164,2,2,2.164,7.237064960656832e+33,8.4252330528018e+29,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1
280,0.427,0.649,0.427,2.164,2,2,2.164,9.375617656530926e+33,1.8232204326263098e+30,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1
281,0.427,1.446,0.649,1.006,2,1,0.649,7.758323610779341e+33,1.1832700607744752e+30,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1
282,0.649,1.739,0.649,1.184,1,1,0.649,9.263438391270534e+33,7.679422694426344e+29,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1
283,1.006,1.184,0.649,1.184,1,2,1.184,1.0143465038441234e+34,9.09243647020079e+29,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1
284,0.649,2.164,1.739,2.164,2,1,1.739,1.979497202251807e+34,1.5811747021679173e+30,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0
285,0.427,1.184,1.184,1.739,2,1,1.184,2.8930351610910157e+34,1.872110847366814e+30,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0
286,0.841,1.184,0.583,1.184,1,1,0.841,2.929198100604653e+34,1.5744452226354905e+30,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1
287,0.583,0.649,0.427,0.649,1,2,0.649,1.8043860299724663e+34,1.0218149494904333e+30,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2
288,0.427,1.739,0.427,2.164,2,2,2.164,2.3375821018293302e+34,2.2112075506972978e+30,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1
289,0.583,1.184,1.446,2.164,2,1,1.446,4.219335693801941e+34,3.1974061183082926e+30,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0
290,0.583,2.164,1.006,1.446,2,2,1.446,5.17290556060118e+34,4.623449247073791e+30,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0
291,0.427,1.184,0.649,1.184,2,1,0.649,4.740967946290982e+34,3.00061856135089e+30,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1
292,0.583,1.446,0.583,2.164,2,2,2.164,6.511719474230663e+34,6.493338566763327e+30,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1
293,1.446,2.164,0.583,0.649,1,2,2.164,1.1753653650986349e+35,1.405158465847584e+31,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2
294,1.006,2.164,0.841,1.184,1,2,2.164,1.8629541036813362e+35,3.040762920094172e+31,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1
295,0.583,1.184,1.006,2.164,2,1,1.006,2.952782254334918e+35,3.0590074976147373e+31,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0
296,0.841,2.164,0.583,0.841,1,2,2.164,4.436555337138214e+35,6.619692224838292e+31,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2
297,1.739,2.164,1.006,1.446,1,1,1.739,8.657937740425225e+35,1.151164477899379e+32,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0
298,0.649,1.006,1.184,1.446,2,1,1.184,1.1385188128659171e+36,1.3629787418328647e+32,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0
299,0.427,0.583,0.649,1.739,2,1,0.649,1.359391462561905e+36,8.845732034495291e+31,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1
300,0.649,1.739,0.583,0.649,1,2,1.739,1.6231134062989146e+36,1.5382728007987313e+32,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2
301,1.446,2.164,1.739,2.164,2,1,1.739,3.167505812392332e+36,2.675056400588994e+32,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0
302,0.841,1.446,0.841,1.184,1,2,1.446,3.622042896470632e+36,3.868131555251685e+32,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1
303,1.006,2.164,0.583,1.739,1,1,1.006,5.740937990905952e+36,3.891340344583196e+32,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1
304,1.006,1.446,0.583,1.006,1,2,1.446,7.038389976850696e+36,5.626878138267301e+32,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1
305,0.427,2.164,0.583,1.739,2,1,0.583,8.171570763123659e+36,3.280469954609836e+32,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1
306,1.184,2.164,0.841,1.184,1,1,1.184,1.3679209457469005e+37,3.884076426258046e+32,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1
307,0.841,2.164,0.841,1.446,1,2,2.164,2.0553012209847179e+37,8.405141386422413e+32,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1
308,0.583,1.739,0.427,0.649,1,1,0.583,2.3862047175632573e+37,4.9001974282842665e+32,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2
309,0.427,1.184,1.739,2.164,2,1,1.739,4.6566785063246975e+37,8.52144332778634e+32,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0
310,0.649,0.841,0.649,1.446,2,1,0.649,4.87787073537512e+37,5.530416719733335e+32,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1
311,0.583,2.164,1.006,1.184,1,2,2.164,6.6997554550377275e+37,1.1967821781502938e+33,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0
312,0.427,1.006,0.427,0.649,1,2,1.006,4.800374783534532e+37,1.2039628712191955e+33,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2
313,0.427,0.583,0.583,1.006,2,1,0.583,3.8138977655181856e+37,7.019103539207909e+32,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1
314,1.739,2.164,0.649,0.841,1,1,1.739,7.44282148940874e+37,1.2206221054682553e+33,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2
315,0.841,1.006,0.583,1.446,1,1,0.841,6.873445645468971e+37,1.0265431906988028e+33,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1
316,0.649,1.006,0.583,2.164,2,1,0.583,9.440677594051631e+37,5.98474680177402e+32,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1
317,0.583,1.739,0.427,1.006,1,1,0.583,1.0960626686693945e+38,3.4891073854342535e+32,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1
318,0.427,2.164,1.006,2.164,2,2,2.164,1.73725932984099e+38,7.550428382079725e+32,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0
319,1.006,1.184,1.446,1.739,2,2,1.739,2.766585482771777e+38,1.3130194956436643e+33,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0
320,0.583,0.841,0.841,1.446,2,1,0.841,3.1635904995495266e+38,1.1042493958363216e+33,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1
321,1.446,1.739,0.841,1.446,1,2,1.739,5.038017870532621e+38,1.9202896993593633e+33,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1
322,0.841,1.446,0.583,1.739,1,1,0.841,5.7609734349540526e+38,1.6149636371612245e+33,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1
323,0.649,1.446,0.583,0.841,1,2,1.446,6.034619673114369e+38,2.3352374193351306e+33,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2
324,0.649,0.841,0.841,1.006,2,1,0.841,5.57297126812112e+38,1.9639346696608448e+33,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1
325,0.583,0.841,0.841,1.006,2,2,1.006,5.146638966109854e+38,1.9757182776788098e+33,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1
326,1.006,2.164,0.427,1.006,1,2,2.164,8.157422761284118e+38,4.2754543528969445e+33,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1
327,0.427,1.446,0.427,1.006,1,1,0.427,7.639426415942577e+38,1.825619008686995e+33,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1
328,0.427,1.184,0.583,2.164,2,1,0.583,1.0492752182297128e+39,1.064335882064518e+33,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1
329,0.427,0.841,0.427,1.739,2,1,0.427,1.136365061342779e+39,4.544714216415492e+32,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1
330,0.583,0.649,0.583,0.841,2,2,0.841,8.090919236760585e+38,3.822104656005429e+32,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2
331,0.427,2.164,0.427,1.739,1,2,2.164,1.0481785871223339e+39,8.271034475595749e+32,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1
332,1.184,2.164,0.427,0.841,1,2,2.164,1.7546509548427868e+39,1.7898518605189202e+33,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2
333,0.583,1.006,0.841,2.164,2,2,2.164,2.636363059651287e+39,3.8732394261629435e+33,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1
334,0.427,0.649,1.739,2.164,2,1,1.739,5.144862510909487e+39,6.735563362097359e+33,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0
335,0.649,1.446,0.427,1.006,1,1,0.649,5.389243480177687e+39,4.3713806220011863e+33,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1
336,1.006,1.184,0.649,2.164,2,2,2.164,7.579970954869918e+39,9.459667666010568e+33,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1
337,0.649,1.446,1.446,1.739,2,1,1.446,1.2071103745630346e+40,1.367867944505128e+34,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0
338,0.649,1.446,1.006,1.184,2,1,1.006,1.321785860146523e+40,1.3760751521721589e+34,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0
339,0.841,1.184,0.649,2.164,2,2,2.164,1.8590918122960846e+40,2.977826629300552e+34,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1
340,1.184,1.446,0.841,2.164,2,1,0.841,2.793285447974867e+40,2.5043521952417643e+34,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1
341,1.739,2.164,0.427,1.184,1,2,2.164,5.451096551722954e+40,5.419418150503178e+34,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1
342,0.427,1.006,1.184,1.446,2,1,1.184,7.168191965515683e+40,6.4165910901957625e+34,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0
343,1.739,2.164,0.583,1.446,1,2,2.164,1.3988726620703858e+41,1.388550311918363e+35,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1
344,1.006,1.184,0.649,1.446,1,1,1.006,1.5317655649670724e+41,1.3968816137898731e+35,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1
345,1.006,2.164,0.649,1.739,1,1,1.006,2.4278484204728096e+41,1.4052629034726123e+35,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1
346,0.427,1.446,1.184,1.446,2,1,1.184,3.1926206729217447e+41,1.663831277711573e+35,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0
347,0.583,1.446,0.427,1.446,1,1,0.583,3.2389136726791097e+41,9.70013634905847e+34,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1
348,0.841,2.164,1.184,2.164,2,1,1.184,5.42194148806483e+41,1.1484961437285226e+35,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0
349,0.649,1.739,0.583,0.649,1,1,0.649,6.4737981367494066e+41,7.453739972798112e+34,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2
350,0.583,1.446,0.427,0.649,1,2,1.446,6.567668209732273e+41,1.077810800066607e+35,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2
351,1.006,1.184,0.841,2.164,2,2,2.164,9.867921485122739e+41,2.3323825713441378e+35,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1
352,0.583,1.739,0.583,1.446,1,1,0.583,1.14566568442275e+42,1.3597790390936323e+35,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1
353,0.427,1.446,0.583,0.841,1,1,0.427,1.0729159134619053e+42,5.806256496929809e+34,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2
354,0.649,1.006,0.583,1.739,2,2,1.739,1.2456553755292722e+42,1.009708004816094e+35,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1
355,1.184,1.739,0.649,1.184,1,2,1.739,1.8205253313360314e+42,1.7558822203751875e+35,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1
356,0.427,0.583,0.649,2.164,2,1,0.649,2.5605688785241284e+42,1.1395675610234967e+35,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1
357,0.841,1.739,0.841,1.006,1,1,0.841,3.303133853296126e+42,9.583763188207607e+34,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1
358,1.446,1.739,1.006,1.446,1,2,1.739,5.26024066137408e+42,1.666616418429303e+35,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0
359,0.427,1.739,0.649,1.184,2,1,0.649,4.821010566149344e+42,1.0816340555606176e+35,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1
360,1.006,1.446,0.427,2.164,1,1,1.006,5.910558954099096e+42,1.0881238598939813e+35,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1
361,0.649,0.841,1.184,1.446,2,2,1.446,7.77238502464031e+42,1.573427101406697e+35,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0
