round,g1_a,g1_b,g2_a,g2_b,ee_choice,coin_flip,realized,wealth_expected,wealth_actual,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers
179,0.427,0.583,0.649,0.841,2,2,0.841,9.185332129829732e+21,8.066643299431839e+18,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2
180,1.446,1.739,0.649,1.446,1,1,1.446,1.4627641416753848e+22,1.166436621097844e+19,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1
181,0.427,0.583,0.649,0.841,2,1,0.649,1.0897592855481616e+22,7.570173670925007e+18,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2
182,1.006,1.446,0.649,1.446,1,1,1.006,1.336044884082046e+22,7.615594712950557e+18,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1
183,0.583,1.184,0.649,0.841,1,2,1.184,1.1803956550864877e+22,9.016864140133459e+18,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2
184,0.649,1.006,0.583,2.164,2,1,0.583,1.6212734322612908e+22,5.256831793697806e+18,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1
185,0.841,1.006,1.184,1.739,2,1,1.184,2.3694911212498765e+22,6.224088843738202e+18,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0
186,0.427,2.164,0.583,0.649,1,2,2.164,3.069675747579215e+22,1.346892825784947e+19,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2
187,0.841,2.164,0.427,0.649,1,1,0.841,4.612187810737771e+22,1.1327368664851405e+19,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2
188,1.184,2.164,0.649,1.446,1,1,1.184,7.720802395175029e+22,1.3411604499184062e+19,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1
