round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
1,"(0.427, 0.841)","(1.739, 2.164)",2,1,1951.5000000000002,1739.0,1.739,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,0.5
2,"(0.583, 0.649)","(0.427, 0.841)",2,2,1237.2510000000002,1462.499,0.841,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,0.5
3,"(0.841, 2.164)","(0.583, 1.739)",1,1,1858.9696275000003,1229.961659,0.841,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,0.5
4,"(0.583, 1.739)","(1.006, 1.739)",2,2,2551.4358137437507,2138.903325001,1.739,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0,0.5
5,"(0.427, 1.446)","(0.583, 1.739)",2,1,2962.2169797564948,1246.980638475583,0.583,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,0.5
6,"(0.841, 1.184)","(0.427, 0.649)",1,1,2999.244692003451,1048.7107169579651,0.841,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,0.5
7,"(0.841, 1.446)","(0.583, 1.184)",1,1,3429.636305305946,881.9657129616486,0.841,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,0.5
8,"(0.427, 0.841)","(1.006, 1.184)",2,1,3755.4517543100105,887.2575072394185,1.006,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,0.5
9,"(0.583, 0.841)","(0.841, 2.164)",2,2,5642.566260850791,1920.0252456661017,2.164,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,0.5
10,"(0.841, 1.006)","(1.184, 1.446)",2,2,7419.97463301879,2776.356505233183,1.446,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0,0.5
