round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
1,"(210.5, 440.5)","(-241.5, 440.5)",1,2,1325.5,1440.5,440.5,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,1.0
2,"(-241.5, 108.5)","(-49.0, 108.5)",2,1,1355.25,1391.5,-49.0,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,1.0
3,"(-49.0, 0.0)","(-407.0, 309.5)",1,2,1330.75,1391.5,0.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,1.0
4,"(210.5, 0.0)","(-407.0, 0.0)",1,2,1436.0,1391.5,0.0,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,1.0
5,"(-241.5, 440.5)","(-305.5, 108.5)",1,1,1535.5,1150.0,-241.5,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,1.0
6,"(-241.5, 108.5)","(210.5, 440.5)",2,2,1861.0,1590.5,440.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0
7,"(-305.5, 440.5)","(309.5, 0.0)",2,1,2015.75,1900.0,309.5,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,1.0
8,"(210.5, 309.5)","(108.5, 440.5)",2,2,2290.25,2340.5,440.5,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0
9,"(-305.5, 0.0)","(-241.5, -49.0)",2,1,2145.0,2099.0,-241.5,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,1.0
10,"(-49.0, 108.5)","(-241.5, 108.5)",1,2,2174.75,2207.5,108.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,1.0
11,"(-241.5, 108.5)","(-241.5, 0.0)",1,1,2108.25,1966.0,-241.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,1.0
