round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,eta
26,"(108.5, 440.5)","(108.5, 309.5)",1,1,3123.25,1117.5,108.5,440.5,108.5,332.0,274.5,0,1,0,2,0,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.75
27,"(309.5, 440.5)","(-407.0, -305.5)",1,1,3498.25,1427.0,309.5,440.5,309.5,131.0,375.0,0,1,0,2,0,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,1.0,0.0,2.0,0.0,0.75
28,"(210.5, 0.0)","(-49.0, 309.5)",2,2,3628.5,1736.5,309.5,210.5,0.0,210.5,105.25,0,0,0,1,0,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,,,,,0.75
29,"(-305.5, 0.0)","(210.5, 440.5)",2,1,3954.0,1947.0,210.5,0.0,-305.5,305.5,-152.75,0,0,0,0,1,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
30,"(-407.0, 108.5)","(-49.0, 210.5)",2,2,4034.75,2157.5,210.5,108.5,-407.0,515.5,-149.25,1,0,0,1,1,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,,0.75
31,"(-241.5, 210.5)","(-49.0, 440.5)",2,2,4230.5,2598.0,440.5,210.5,-241.5,452.0,-15.5,1,0,0,1,1,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,,0.75
32,"(-241.5, 309.5)","(210.5, 309.5)",2,1,4490.5,2808.5,210.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
33,"(210.5, 0.0)","(-407.0, 210.5)",1,2,4595.75,2808.5,0.0,210.5,0.0,210.5,105.25,0,0,0,1,0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,,0.75
34,"(-407.0, -305.5)","(210.5, 440.5)",2,2,4921.25,3249.0,440.5,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
35,"(309.5, 440.5)","(-241.5, 440.5)",1,1,5296.25,3558.5,309.5,440.5,309.5,131.0,375.0,0,1,0,2,0,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0,0.75
36,"(-49.0, 108.5)","(-407.0, 210.5)",1,1,5326.0,3509.5,-49.0,108.5,-49.0,157.5,29.75,1,0,0,1,1,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,,0.75
37,"(-241.5, 108.5)","(-49.0, 0.0)",2,1,5301.5,3460.5,-49.0,108.5,-241.5,350.0,-66.5,1,0,0,1,1,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,,,,,0.75
38,"(108.5, 0.0)","(-305.5, 440.5)",1,1,5355.75,3569.0,108.5,108.5,0.0,108.5,54.25,0,0,0,1,0,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,,,,,0.75
39,"(-49.0, 309.5)","(-407.0, 440.5)",1,2,5486.0,3878.5,309.5,309.5,-49.0,358.5,130.25,1,0,0,1,1,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,,0.75
40,"(-241.5, -49.0)","(309.5, 440.5)",2,1,5861.0,4188.0,309.5,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
41,"(-305.5, -241.5)","(-241.5, 0.0)",2,1,5740.25,3946.5,-241.5,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,,,,,0.75
42,"(440.5, 0.0)","(309.5, 0.0)",1,2,5960.5,3946.5,0.0,440.5,0.0,440.5,220.25,0,0,0,1,0,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.75
43,"(309.5, 0.0)","(-49.0, 210.5)",1,1,6115.25,4256.0,309.5,309.5,0.0,309.5,154.75,0,0,0,1,0,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,,0.75
44,"(-407.0, -49.0)","(210.5, 0.0)",2,1,6220.5,4466.5,210.5,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,,,,,0.75
45,"(210.5, 0.0)","(-241.5, 309.5)",1,2,6325.75,4466.5,0.0,210.5,0.0,210.5,105.25,0,0,0,1,0,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,,,,,0.75
46,"(-407.0, -49.0)","(-241.5, 0.0)",2,2,6205.0,4466.5,0.0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,,,,,0.75
47,"(108.5, 440.5)","(-49.0, 309.5)",1,2,6479.5,4907.0,440.5,440.5,108.5,332.0,274.5,0,1,0,2,0,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0,0.75
48,"(-241.5, 440.5)","(-407.0, 108.5)",1,1,6579.0,4665.5,-241.5,440.5,-241.5,682.0,99.5,1,0,0,1,1,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,,,,,0.75
49,"(-407.0, 309.5)","(-305.5, 210.5)",2,1,6531.5,4360.0,-305.5,309.5,-407.0,716.5,-48.75,1,0,0,1,1,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,,,,,0.75
50,"(210.5, 440.5)","(-49.0, 108.5)",1,1,6857.0,4570.5,210.5,440.5,210.5,230.0,325.5,0,1,0,2,0,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0,0.75
51,"(108.5, 210.5)","(-241.5, 309.5)",1,1,7016.5,4679.0,108.5,210.5,108.5,102.0,159.5,0,1,0,2,0,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0,0.75
52,"(-49.0, 440.5)","(-241.5, 108.5)",1,2,7212.25,5119.5,440.5,440.5,-49.0,489.5,195.75,1,0,0,1,1,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,,,,,0.75
53,"(-49.0, 210.5)","(-49.0, 440.5)",2,2,7408.0,5560.0,440.5,210.5,-49.0,259.5,80.75,1,0,0,1,1,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,,0.75
54,"(-407.0, 210.5)","(-305.5, -241.5)",1,1,7309.75,5153.0,-407.0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,,,,,0.75
55,"(210.5, 0.0)","(-305.5, 440.5)",1,1,7415.0,5363.5,210.5,210.5,0.0,210.5,105.25,0,0,0,1,0,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,,,,,0.75
56,"(-49.0, 108.5)","(440.5, 0.0)",2,1,7635.25,5804.0,440.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,,0.75
