round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,eta
1,"(309.5, 0.0)","(-407.0, -305.5)",1,1,1154.75,1309.5,309.5,309.5,0.0,309.5,154.75,0,0,0,1,0,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,,,,,0.5
2,"(-241.5, 210.5)","(-305.5, 210.5)",1,1,1139.25,1068.0,-241.5,210.5,-241.5,452.0,-15.5,1,0,0,1,1,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,,,,,0.5
3,"(-407.0, 0.0)","(-407.0, -49.0)",1,2,935.75,1068.0,0.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,,,,,0.5
4,"(-241.5, 210.5)","(210.5, 440.5)",2,1,1261.25,1278.5,210.5,210.5,-241.5,452.0,-15.5,1,0,0,1,1,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.5
5,"(-407.0, -49.0)","(-305.5, 309.5)",2,2,1263.25,1588.0,309.5,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,,,,,0.5
6,"(-49.0, 108.5)","(-241.5, 108.5)",1,1,1293.0,1539.0,-49.0,108.5,-49.0,157.5,29.75,1,0,0,1,1,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,,,,,0.5
7,"(-407.0, 309.5)","(108.5, 210.5)",2,1,1452.5,1647.5,108.5,309.5,-407.0,716.5,-48.75,1,0,0,1,1,210.5,108.5,102.0,159.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.5
8,"(-49.0, 0.0)","(-241.5, 108.5)",1,1,1428.0,1598.5,-49.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,,,,,0.5
9,"(-49.0, 210.5)","(-407.0, 309.5)",1,1,1508.75,1549.5,-49.0,210.5,-49.0,259.5,80.75,1,0,0,1,1,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,,0.5
10,"(108.5, 440.5)","(108.5, 210.5)",1,2,1783.25,1990.0,440.5,440.5,108.5,332.0,274.5,0,1,0,2,0,210.5,108.5,102.0,159.5,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.5
11,"(210.5, 0.0)","(210.5, 440.5)",2,1,2108.75,2200.5,210.5,210.5,0.0,210.5,105.25,0,0,0,1,0,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.5
12,"(440.5, 0.0)","(-407.0, 0.0)",1,1,2329.0,2641.0,440.5,440.5,0.0,440.5,220.25,0,0,0,1,0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,,0.5
13,"(108.5, 210.5)","(210.5, 440.5)",2,1,2654.5,2851.5,210.5,210.5,108.5,102.0,159.5,0,1,0,2,0,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.5
14,"(-305.5, 108.5)","(210.5, 0.0)",2,2,2759.75,2851.5,0.0,108.5,-305.5,414.0,-98.5,1,0,0,1,1,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,,,,,0.5
15,"(-305.5, 440.5)","(-49.0, 440.5)",2,1,2955.5,2802.5,-49.0,440.5,-305.5,746.0,67.5,1,0,0,1,1,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,,0.5
16,"(108.5, 309.5)","(-241.5, 108.5)",1,1,3164.5,2911.0,108.5,309.5,108.5,201.0,209.0,0,1,0,2,0,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0,0.5
17,"(-305.5, 108.5)","(440.5, 0.0)",2,2,3384.75,2911.0,0.0,108.5,-305.5,414.0,-98.5,1,0,0,1,1,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,,0.5
18,"(-407.0, -49.0)","(210.5, 0.0)",2,1,3490.0,3121.5,210.5,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,,,,,0.5
19,"(108.5, 309.5)","(-49.0, 309.5)",1,1,3699.0,3230.0,108.5,309.5,108.5,201.0,209.0,0,1,0,2,0,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0,0.5
